Date,Open,High,Low,Close,Adj Close,Daily % Return,Deviation from mean,Event,,
4/13/1950,17.98,17.98,17.98,17.98,17.98,0.22%,0.2%,,,
4/14/1950,17.96,17.96,17.96,17.96,17.96,-0.11%,-0.1%,,,
4/17/1950,17.88,17.88,17.88,17.88,17.88,-0.45%,-0.5%,,,
4/18/1950,18.03,18.03,18.03,18.03,18.03,0.84%,0.8%,,,
4/19/1950,18.05,18.05,18.05,18.05,18.05,0.11%,0.1%,,,
4/20/1950,17.93,17.93,17.93,17.93,17.93,-0.66%,-0.7%,,,
4/21/1950,17.96,17.96,17.96,17.96,17.96,0.17%,0.1%,,,
4/24/1950,17.83,17.83,17.83,17.83,17.83,-0.72%,-0.8%,,,
4/25/1950,17.83,17.83,17.83,17.83,17.83,0.00%,0.0%,,,
4/26/1950,17.76,17.76,17.76,17.76,17.76,-0.39%,-0.4%,,,
4/27/1950,17.86,17.86,17.86,17.86,17.86,0.56%,0.5%,,,
4/28/1950,17.96,17.96,17.96,17.96,17.96,0.56%,0.5%,,,
5/1/1950,18.22,18.22,18.22,18.22,18.22,1.45%,1.4%,,,
5/2/1950,18.11,18.11,18.11,18.11,18.11,-0.60%,-0.6%,,,
5/3/1950,18.27,18.27,18.27,18.27,18.27,0.88%,0.8%,,,
5/4/1950,18.12,18.12,18.12,18.12,18.12,-0.82%,-0.9%,,,
5/5/1950,18.22,18.22,18.22,18.22,18.22,0.55%,0.5%,,,
5/8/1950,18.27,18.27,18.27,18.27,18.27,0.27%,0.2%,,,
5/9/1950,18.27,18.27,18.27,18.27,18.27,0.00%,0.0%,,,
5/10/1950,18.29,18.29,18.29,18.29,18.29,0.11%,0.1%,,,
5/11/1950,18.29,18.29,18.29,18.29,18.29,0.00%,0.0%,,,
5/12/1950,18.18,18.18,18.18,18.18,18.18,-0.60%,-0.6%,,,
5/15/1950,18.26,18.26,18.26,18.26,18.26,0.44%,0.4%,,,
5/16/1950,18.44,18.44,18.44,18.44,18.44,0.99%,1.0%,,,
5/17/1950,18.52,18.52,18.52,18.52,18.52,0.43%,0.4%,,,
5/18/1950,18.56,18.56,18.56,18.56,18.56,0.22%,0.2%,,,
5/19/1950,18.68,18.68,18.68,18.68,18.68,0.65%,0.6%,,,
5/22/1950,18.60,18.60,18.60,18.60,18.60,-0.43%,-0.5%,,,
5/23/1950,18.71,18.71,18.71,18.71,18.71,0.59%,0.6%,,,
5/24/1950,18.69,18.69,18.69,18.69,18.69,-0.11%,-0.1%,,,
5/25/1950,18.69,18.69,18.69,18.69,18.69,0.00%,0.0%,,,
5/26/1950,18.67,18.67,18.67,18.67,18.67,-0.11%,-0.1%,,,
5/29/1950,18.72,18.72,18.72,18.72,18.72,0.27%,0.2%,,,
5/31/1950,18.78,18.78,18.78,18.78,18.78,0.32%,0.3%,,,
6/1/1950,18.77,18.77,18.77,18.77,18.77,-0.05%,-0.1%,,,
6/2/1950,18.79,18.79,18.79,18.79,18.79,0.11%,0.1%,,,
6/5/1950,18.60,18.60,18.60,18.60,18.60,-1.01%,-1.0%,,,
6/6/1950,18.88,18.88,18.88,18.88,18.88,1.51%,1.5%,,,
6/7/1950,18.93,18.93,18.93,18.93,18.93,0.26%,0.2%,,,
6/8/1950,19.14,19.14,19.14,19.14,19.14,1.11%,1.1%,,,
6/9/1950,19.26,19.26,19.26,19.26,19.26,0.63%,0.6%,,,
6/12/1950,19.40,19.40,19.40,19.40,19.40,0.73%,0.7%,,,
6/13/1950,19.25,19.25,19.25,19.25,19.25,-0.77%,-0.8%,,,
6/14/1950,18.98,18.98,18.98,18.98,18.98,-1.40%,-1.4%,,,
6/15/1950,18.93,18.93,18.93,18.93,18.93,-0.26%,-0.3%,,,
6/16/1950,18.97,18.97,18.97,18.97,18.97,0.21%,0.2%,,,
6/19/1950,18.92,18.92,18.92,18.92,18.92,-0.26%,-0.3%,,,
6/20/1950,18.83,18.83,18.83,18.83,18.83,-0.48%,-0.5%,,,
6/21/1950,19.00,19.00,19.00,19.00,19.00,0.90%,0.9%,,,
6/22/1950,19.16,19.16,19.16,19.16,19.16,0.84%,0.8%,,,
6/23/1950,19.14,19.14,19.14,19.14,19.14,-0.10%,-0.1%,Korean War Begins,,
6/26/1950,18.11,18.11,18.11,18.11,18.11,-5.38%,-5.4%,,Average,-0.82%
6/27/1950,17.91,17.91,17.91,17.91,17.91,-1.10%,-1.1%,,Variance,0.04%
6/28/1950,18.11,18.11,18.11,18.11,18.11,1.12%,1.1%,,Standard Deviation,2.10%
6/29/1950,17.44,17.44,17.44,17.44,17.44,-3.70%,-3.7%,,3 month treasury bill,1.22%
6/30/1950,17.69,17.69,17.69,17.69,17.69,1.43%,1.4%,,Sharpe Ratio,-79.00%
7/3/1950,17.64,17.64,17.64,17.64,17.64,-0.28%,-0.3%,,Return/Risk,-20.94%
7/5/1950,17.81,17.81,17.81,17.81,17.81,0.96%,0.9%,,2 Week Return,-0.44%
7/6/1950,17.91,17.91,17.91,17.91,17.91,0.56%,0.5%,,,
7/7/1950,17.67,17.67,17.67,17.67,17.67,-1.34%,-1.4%,,,
7/10/1950,17.59,17.59,17.59,17.59,17.59,-0.45%,-0.5%,,,
7/11/1950,17.32,17.32,17.32,17.32,17.32,-1.53%,-1.6%,,,
7/12/1950,16.87,16.87,16.87,16.87,16.87,-2.60%,-2.6%,,,
7/13/1950,16.69,16.69,16.69,16.69,16.69,-1.07%,-1.1%,,,
7/14/1950,16.87,16.87,16.87,16.87,16.87,1.08%,1.0%,,,
7/17/1950,16.68,16.68,16.68,16.68,16.68,-1.13%,-1.2%,,,
7/18/1950,17.06,17.06,17.06,17.06,17.06,2.28%,2.2%,,,
7/19/1950,17.36,17.36,17.36,17.36,17.36,1.76%,1.7%,,,
7/20/1950,17.61,17.61,17.61,17.61,17.61,1.44%,1.4%,,,
7/21/1950,17.59,17.59,17.59,17.59,17.59,-0.11%,-0.1%,,,
7/24/1950,17.48,17.48,17.48,17.48,17.48,-0.63%,-0.7%,,,
7/25/1950,17.23,17.23,17.23,17.23,17.23,-1.43%,-1.5%,,,
7/26/1950,17.27,17.27,17.27,17.27,17.27,0.23%,0.2%,,,
7/27/1950,17.50,17.50,17.50,17.50,17.50,1.33%,1.3%,,,
